video_id,split,dataset_split,class,label,frame_index,timestamp_sec,processed_relpath,processed_path,fps,duration_sec,width,height
00000,train,train,positive,positive,0,0.0,train/positive/00000/frame_0000.jpg,/content/scratch/frames_processed/train/positive/00000/frame_0000.jpg,28.9,40.07,1280,720
00000,train,train,positive,positive,1,0.484,train/positive/00000/frame_0001.jpg,/content/scratch/frames_processed/train/positive/00000/frame_0001.jpg,28.9,40.07,1280,720
00000,train,train,positive,positive,2,0.969,train/positive/00000/frame_0002.jpg,/content/scratch/frames_processed/train/positive/00000/frame_0002.jpg,28.9,40.07,1280,720
00000,train,train,positive,positive,3,1.453,train/positive/00000/frame_0003.jpg,/content/scratch/frames_processed/train/positive/00000/frame_0003.jpg,28.9,40.07,1280,720
00000,train,train,positive,positive,4,1.938,train/positive/00000/frame_0004.jpg,/content/scratch/frames_processed/train/positive/00000/frame_0004.jpg,28.9,40.07,1280,720
00000,train,train,positive,positive,5,2.422,train/positive/00000/frame_0005.jpg,/content/scratch/frames_processed/train/positive/00000/frame_0005.jpg,28.9,40.07,1280,720
00000,train,train,positive,positive,6,2.907,train/positive/00000/frame_0006.jpg,/content/scratch/frames_processed/train/positive/00000/frame_0006.jpg,28.9,40.07,1280,720
00000,train,train,positive,positive,7,3.391,train/positive/00000/frame_0007.jpg,/content/scratch/frames_processed/train/positive/00000/frame_0007.jpg,28.9,40.07,1280,720
00000,train,train,positive,positive,8,3.875,train/positive/00000/frame_0008.jpg,/content/scratch/frames_processed/train/positive/00000/frame_0008.jpg,28.9,40.07,1280,720
00000,train,train,positive,positive,9,4.36,train/positive/00000/frame_0009.jpg,/content/scratch/frames_processed/train/positive/00000/frame_0009.jpg,28.9,40.07,1280,720
00000,train,train,positive,positive,10,4.844,train/positive/00000/frame_0010.jpg,/content/scratch/frames_processed/train/positive/00000/frame_0010.jpg,28.9,40.07,1280,720
00000,train,train,positive,positive,11,5.329,train/positive/00000/frame_0011.jpg,/content/scratch/frames_processed/train/positive/00000/frame_0011.jpg,28.9,40.07,1280,720
00000,train,train,positive,positive,12,5.813,train/positive/00000/frame_0012.jpg,/content/scratch/frames_processed/train/positive/00000/frame_0012.jpg,28.9,40.07,1280,720
